Round 150: Acc: 0.75300	 Loss: 0.55875	 Msg_len: 20.000	 Edit_Dist: 20 
Round 151: Acc: 0.75300	 Loss: 0.55917	 Msg_len: 20.000	 Edit_Dist: 20 
Round 152: Acc: 0.75500	 Loss: 0.55684	 Msg_len: 20.000	 Edit_Dist: 20 
Round 153: Acc: 0.75700	 Loss: 0.55490	 Msg_len: 20.000	 Edit_Dist: 20 
Round 154: Acc: 0.75100	 Loss: 0.56132	 Msg_len: 20.000	 Edit_Dist: 20 
Round 155: Acc: 0.75300	 Loss: 0.55896	 Msg_len: 20.000	 Edit_Dist: 20 
Round 156: Acc: 0.75500	 Loss: 0.55700	 Msg_len: 20.000	 Edit_Dist: 20 
Round 157: Acc: 0.75300	 Loss: 0.55959	 Msg_len: 20.000	 Edit_Dist: 20 
Round 158: Acc: 0.75200	 Loss: 0.56005	 Msg_len: 20.000	 Edit_Dist: 20 
Round 159: Acc: 0.75500	 Loss: 0.55699	 Msg_len: 20.000	 Edit_Dist: 20 
Round 160: Acc: 0.75500	 Loss: 0.55674	 Msg_len: 20.000	 Edit_Dist: 20 
Round 161: Acc: 0.75200	 Loss: 0.56018	 Msg_len: 20.000	 Edit_Dist: 20 
Round 162: Acc: 0.75600	 Loss: 0.55561	 Msg_len: 20.000	 Edit_Dist: 20 
Round 163: Acc: 0.75400	 Loss: 0.55802	 Msg_len: 20.000	 Edit_Dist: 20 
Round 164: Acc: 0.75900	 Loss: 0.55247	 Msg_len: 20.000	 Edit_Dist: 20 
Round 165: Acc: 0.75700	 Loss: 0.55461	 Msg_len: 20.000	 Edit_Dist: 20 
Round 166: Acc: 0.75700	 Loss: 0.55465	 Msg_len: 20.000	 Edit_Dist: 20 
Round 167: Acc: 0.74900	 Loss: 0.56376	 Msg_len: 20.000	 Edit_Dist: 20 
Round 168: Acc: 0.75300	 Loss: 0.55928	 Msg_len: 20.000	 Edit_Dist: 20 
Round 169: Acc: 0.75300	 Loss: 0.55933	 Msg_len: 20.000	 Edit_Dist: 20 
Round 170: Acc: 0.75400	 Loss: 0.55805	 Msg_len: 20.000	 Edit_Dist: 20 
Round 171: Acc: 0.75300	 Loss: 0.55976	 Msg_len: 20.000	 Edit_Dist: 20 
Round 172: Acc: 0.75400	 Loss: 0.55844	 Msg_len: 20.000	 Edit_Dist: 20 
Round 173: Acc: 0.75000	 Loss: 0.56242	 Msg_len: 20.000	 Edit_Dist: 20 
Round 174: Acc: 0.75200	 Loss: 0.56039	 Msg_len: 20.000	 Edit_Dist: 20 
Round 175: Acc: 0.75500	 Loss: 0.55671	 Msg_len: 20.000	 Edit_Dist: 20 
Round 176: Acc: 0.75700	 Loss: 0.55435	 Msg_len: 20.000	 Edit_Dist: 20 
Round 177: Acc: 0.75400	 Loss: 0.55763	 Msg_len: 20.000	 Edit_Dist: 20 
Round 178: Acc: 0.75100	 Loss: 0.56153	 Msg_len: 20.000	 Edit_Dist: 20 
Round 179: Acc: 0.75300	 Loss: 0.55968	 Msg_len: 20.000	 Edit_Dist: 20 
Round 180: Acc: 0.75400	 Loss: 0.55825	 Msg_len: 20.000	 Edit_Dist: 20 
Round 181: Acc: 0.75600	 Loss: 0.55577	 Msg_len: 20.000	 Edit_Dist: 20 
Round 182: Acc: 0.75400	 Loss: 0.55811	 Msg_len: 20.000	 Edit_Dist: 20 
Round 183: Acc: 0.75100	 Loss: 0.56137	 Msg_len: 20.000	 Edit_Dist: 20 
Round 184: Acc: 0.75600	 Loss: 0.55562	 Msg_len: 20.000	 Edit_Dist: 20 
Round 185: Acc: 0.74800	 Loss: 0.56465	 Msg_len: 20.000	 Edit_Dist: 20 
Round 186: Acc: 0.75300	 Loss: 0.55918	 Msg_len: 20.000	 Edit_Dist: 20 
Round 187: Acc: 0.75400	 Loss: 0.55791	 Msg_len: 20.000	 Edit_Dist: 20 
Round 188: Acc: 0.75600	 Loss: 0.55604	 Msg_len: 20.000	 Edit_Dist: 20 
Round 189: Acc: 0.75000	 Loss: 0.56256	 Msg_len: 20.000	 Edit_Dist: 20 
Round 190: Acc: 0.74900	 Loss: 0.56360	 Msg_len: 20.000	 Edit_Dist: 20 
Round 191: Acc: 0.75300	 Loss: 0.55915	 Msg_len: 20.000	 Edit_Dist: 20 
Round 192: Acc: 0.75600	 Loss: 0.55602	 Msg_len: 20.000	 Edit_Dist: 20 
