Round 124: Acc: 0.89300	 Loss: 0.27124	 Msg_len: 17.379	 Edit_Dist: 9 
Round 125: Acc: 0.90200	 Loss: 0.25078	 Msg_len: 13.290	 Edit_Dist: 7 
Round 126: Acc: 0.91600	 Loss: 0.24656	 Msg_len: 10.801	 Edit_Dist: 6 
Round 127: Acc: 0.90700	 Loss: 0.23536	 Msg_len: 17.295	 Edit_Dist: 9 
Round 128: Acc: 0.93600	 Loss: 0.19129	 Msg_len: 18.394	 Edit_Dist: 5 
Round 129: Acc: 0.94400	 Loss: 0.16492	 Msg_len: 17.944	 Edit_Dist: 5 
Round 130: Acc: 0.91600	 Loss: 0.17787	 Msg_len: 18.721	 Edit_Dist: 7 
Round 131: Acc: 0.92600	 Loss: 0.20669	 Msg_len: 12.139	 Edit_Dist: 13 
Round 132: Acc: 0.89800	 Loss: 0.22982	 Msg_len: 15.331	 Edit_Dist: 7 
Round 133: Acc: 0.91500	 Loss: 0.20920	 Msg_len: 17.897	 Edit_Dist: 9 
Round 134: Acc: 0.92900	 Loss: 0.19363	 Msg_len: 15.260	 Edit_Dist: 9 
Round 135: Acc: 0.91200	 Loss: 0.20703	 Msg_len: 15.786	 Edit_Dist: 8 
Round 136: Acc: 0.91000	 Loss: 0.20439	 Msg_len: 17.588	 Edit_Dist: 8 
Round 137: Acc: 0.88900	 Loss: 0.21163	 Msg_len: 19.415	 Edit_Dist: 9 
Round 138: Acc: 0.92500	 Loss: 0.20446	 Msg_len: 14.739	 Edit_Dist: 10 
Round 139: Acc: 0.92300	 Loss: 0.18185	 Msg_len: 17.932	 Edit_Dist: 8 
Round 140: Acc: 0.93800	 Loss: 0.19481	 Msg_len: 11.151	 Edit_Dist: 12 
Round 141: Acc: 0.92700	 Loss: 0.18933	 Msg_len: 16.839	 Edit_Dist: 9 
Round 142: Acc: 0.89600	 Loss: 0.24104	 Msg_len: 17.473	 Edit_Dist: 8 
Round 143: Acc: 0.92300	 Loss: 0.17778	 Msg_len: 17.565	 Edit_Dist: 8 
Round 144: Acc: 0.91600	 Loss: 0.21125	 Msg_len: 10.511	 Edit_Dist: 8 
Round 145: Acc: 0.89700	 Loss: 0.25754	 Msg_len: 17.617	 Edit_Dist: 9 
Round 146: Acc: 0.88800	 Loss: 0.26099	 Msg_len: 17.557	 Edit_Dist: 7 
Round 147: Acc: 0.89700	 Loss: 0.24153	 Msg_len: 17.645	 Edit_Dist: 9 
Round 148: Acc: 0.93600	 Loss: 0.20496	 Msg_len: 8.313	 Edit_Dist: 12 
Round 149: Acc: 0.89700	 Loss: 0.25095	 Msg_len: 18.222	 Edit_Dist: 9 
