Round 173: Acc: 0.81500	 Loss: 0.34341	 Msg_len: 20.000	 Edit_Dist: 3 
Round 174: Acc: 0.88400	 Loss: 0.33735	 Msg_len: 20.000	 Edit_Dist: 2 
Round 175: Acc: 0.84800	 Loss: 0.28869	 Msg_len: 20.000	 Edit_Dist: 2 
Round 176: Acc: 0.87100	 Loss: 0.27828	 Msg_len: 20.000	 Edit_Dist: 3 
Round 177: Acc: 0.86300	 Loss: 0.39062	 Msg_len: 20.000	 Edit_Dist: 2 
Round 178: Acc: 0.88700	 Loss: 0.33077	 Msg_len: 19.878	 Edit_Dist: 2 
Round 179: Acc: 0.87500	 Loss: 0.34211	 Msg_len: 19.717	 Edit_Dist: 2 
Round 180: Acc: 0.86600	 Loss: 0.33204	 Msg_len: 20.000	 Edit_Dist: 2 
Round 181: Acc: 0.90500	 Loss: 0.31310	 Msg_len: 19.749	 Edit_Dist: 2 
Round 182: Acc: 0.83800	 Loss: 0.31997	 Msg_len: 20.000	 Edit_Dist: 3 
Round 183: Acc: 0.88000	 Loss: 0.33320	 Msg_len: 20.000	 Edit_Dist: 2 
Round 184: Acc: 0.87600	 Loss: 0.30918	 Msg_len: 20.000	 Edit_Dist: 4 
Round 185: Acc: 0.88000	 Loss: 0.28243	 Msg_len: 20.000	 Edit_Dist: 3 
Round 186: Acc: 0.88700	 Loss: 0.34321	 Msg_len: 20.000	 Edit_Dist: 4 
Round 187: Acc: 0.91700	 Loss: 0.29231	 Msg_len: 20.000	 Edit_Dist: 3 
Round 188: Acc: 0.84800	 Loss: 0.33387	 Msg_len: 20.000	 Edit_Dist: 3 
Round 189: Acc: 0.89600	 Loss: 0.33403	 Msg_len: 20.000	 Edit_Dist: 3 
Round 190: Acc: 0.87700	 Loss: 0.29883	 Msg_len: 20.000	 Edit_Dist: 3 
Round 191: Acc: 0.86000	 Loss: 0.29547	 Msg_len: 20.000	 Edit_Dist: 4 
Round 192: Acc: 0.88800	 Loss: 0.35724	 Msg_len: 20.000	 Edit_Dist: 3 
Round 193: Acc: 0.84700	 Loss: 0.34920	 Msg_len: 20.000	 Edit_Dist: 4 
Round 194: Acc: 0.88300	 Loss: 0.32328	 Msg_len: 20.000	 Edit_Dist: 3 
Round 195: Acc: 0.87500	 Loss: 0.30836	 Msg_len: 20.000	 Edit_Dist: 3 
Round 196: Acc: 0.86900	 Loss: 0.29082	 Msg_len: 20.000	 Edit_Dist: 3 
Round 197: Acc: 0.89500	 Loss: 0.26473	 Msg_len: 20.000	 Edit_Dist: 3 
Round 198: Acc: 0.88100	 Loss: 0.24976	 Msg_len: 20.000	 Edit_Dist: 3 
Round 199: Acc: 0.88700	 Loss: 0.24538	 Msg_len: 20.000	 Edit_Dist: 3 
Round 200: Acc: 0.87000	 Loss: 0.34014	 Msg_len: 20.000	 Edit_Dist: 3 
Round 201: Acc: 0.87700	 Loss: 0.25506	 Msg_len: 20.000	 Edit_Dist: 4 
Round 202: Acc: 0.89600	 Loss: 0.24518	 Msg_len: 20.000	 Edit_Dist: 4 
Round 203: Acc: 0.86600	 Loss: 0.36917	 Msg_len: 20.000	 Edit_Dist: 4 
Round 204: Acc: 0.90900	 Loss: 0.30507	 Msg_len: 19.806	 Edit_Dist: 3 
Round 205: Acc: 0.87200	 Loss: 0.29497	 Msg_len: 20.000	 Edit_Dist: 3 
Round 206: Acc: 0.90200	 Loss: 0.25737	 Msg_len: 20.000	 Edit_Dist: 4 
Round 207: Acc: 0.90300	 Loss: 0.23525	 Msg_len: 20.000	 Edit_Dist: 5 
Round 208: Acc: 0.88500	 Loss: 0.30897	 Msg_len: 20.000	 Edit_Dist: 3 
Round 209: Acc: 0.90000	 Loss: 0.27075	 Msg_len: 20.000	 Edit_Dist: 4 
Round 210: Acc: 0.91900	 Loss: 0.26933	 Msg_len: 20.000	 Edit_Dist: 3 
Round 211: Acc: 0.91300	 Loss: 0.27437	 Msg_len: 20.000	 Edit_Dist: 3 
Round 212: Acc: 0.88700	 Loss: 0.25837	 Msg_len: 20.000	 Edit_Dist: 4 
Round 213: Acc: 0.91900	 Loss: 0.26731	 Msg_len: 20.000	 Edit_Dist: 4 
Round 214: Acc: 0.92400	 Loss: 0.21455	 Msg_len: 20.000	 Edit_Dist: 4 
Round 215: Acc: 0.90000	 Loss: 0.31286	 Msg_len: 19.871	 Edit_Dist: 3 
Round 216: Acc: 0.90200	 Loss: 0.25658	 Msg_len: 19.956	 Edit_Dist: 3 
Round 217: Acc: 0.91000	 Loss: 0.24659	 Msg_len: 19.917	 Edit_Dist: 4 
Round 218: Acc: 0.91000	 Loss: 0.27909	 Msg_len: 19.828	 Edit_Dist: 4 
Round 219: Acc: 0.90600	 Loss: 0.25697	 Msg_len: 19.956	 Edit_Dist: 3 
Round 220: Acc: 0.89200	 Loss: 0.25228	 Msg_len: 20.000	 Edit_Dist: 3 
Round 221: Acc: 0.91000	 Loss: 0.26546	 Msg_len: 20.000	 Edit_Dist: 3 
Round 222: Acc: 0.91400	 Loss: 0.25929	 Msg_len: 20.000	 Edit_Dist: 4 
Round 223: Acc: 0.94100	 Loss: 0.24953	 Msg_len: 19.680	 Edit_Dist: 5 
Round 224: Acc: 0.91000	 Loss: 0.25140	 Msg_len: 19.926	 Edit_Dist: 5 
Round 225: Acc: 0.90200	 Loss: 0.26613	 Msg_len: 19.915	 Edit_Dist: 4 
Round 226: Acc: 0.88400	 Loss: 0.24654	 Msg_len: 20.000	 Edit_Dist: 5 
Round 227: Acc: 0.93300	 Loss: 0.21855	 Msg_len: 20.000	 Edit_Dist: 4 
